iter	Logloss
0	0.6856883133
1	0.6764218267
2	0.6660873038
3	0.6584475517
4	0.6521624657
5	0.6426005694
6	0.6326711508
7	0.6260031243
8	0.6185615076
9	0.6145945691
10	0.6091656254
11	0.6045170174
12	0.598286752
13	0.5919411172
14	0.5855786187
15	0.5835553992
16	0.5765768124
17	0.574341217
18	0.5695921225
19	0.565689641
20	0.5631669873
21	0.557684508
22	0.5537684283
23	0.5515772139
24	0.5488462531
25	0.545862604
26	0.540853005
27	0.5389923733
28	0.5363453564
29	0.5350316985
30	0.5317003888
31	0.5293426785
32	0.5254340403
33	0.522978681
34	0.5201593328
35	0.516616932
36	0.5148915314
37	0.5132838021
38	0.5108607784
39	0.5091404636
40	0.5068956601
41	0.504740957
42	0.5023237151
43	0.5002624318
44	0.4977564278
45	0.4958502908
46	0.4949658282
47	0.4937701629
48	0.492608225
49	0.4908243099
50	0.4898581519
51	0.4876782871
52	0.4862777408
53	0.4853408669
54	0.4835424971
55	0.4827248471
56	0.480291598
57	0.4785335942
58	0.4766713564
59	0.4748867453
60	0.4725985243
61	0.4709134361
62	0.469425359
63	0.4680205834
64	0.4661540628
65	0.4641889295
66	0.4619349713
67	0.4601127247
68	0.4585400613
69	0.4574802694
70	0.4553818324
71	0.4538755532
72	0.4534358113
73	0.4526258704
74	0.4515864756
75	0.4502032749
76	0.4492526958
77	0.447776691
78	0.4464473739
79	0.4444666617
80	0.4436650724
81	0.4424832192
82	0.4408838951
83	0.4397528205
84	0.4386931625
85	0.4371903632
86	0.4360792306
87	0.4349061573
88	0.433939116
89	0.43318603
90	0.4321390064
91	0.4309118086
92	0.429316446
93	0.4286888476
94	0.4280265044
95	0.4271181114
96	0.4258774762
97	0.4244917593
98	0.4240073151
99	0.4231260647
100	0.4226137017
101	0.4217951683
102	0.4211611455
103	0.4203471359
104	0.4192574712
105	0.4182395442
106	0.417339021
107	0.4157517691
108	0.415137153
109	0.4146005651
110	0.413612404
111	0.4119333652
112	0.4109581062
113	0.409990824
114	0.4096607767
115	0.4090618465
116	0.4081992533
117	0.4075811306
118	0.4071871617
119	0.4061664509
120	0.4055371928
121	0.4049672255
122	0.4045380034
123	0.4036905339
124	0.4031761634
125	0.401818285
126	0.4008946611
127	0.400614857
128	0.3997296449
129	0.3992753414
130	0.398763942
131	0.3978266933
132	0.3970897215
133	0.3963245631
134	0.3953081887
135	0.3948778691
136	0.3942567484
137	0.3938873524
138	0.3931790489
139	0.392591629
140	0.3919741487
141	0.3908201341
142	0.3900171261
143	0.3895593962
144	0.3892939664
145	0.3888998102
146	0.3883077594
147	0.38715867
148	0.3865278327
149	0.3856919537
150	0.385168375
151	0.3847243503
152	0.384032964
153	0.3835307193
154	0.3827887419
155	0.3824406798
156	0.3817763291
157	0.3809558952
158	0.380459004
159	0.3799510309
160	0.3794849495
161	0.3790246232
162	0.3784813434
163	0.3778574388
164	0.3771044866
165	0.3764045347
166	0.3758579356
167	0.3754783411
168	0.3746756007
169	0.3742229567
170	0.373488742
171	0.3728878846
172	0.3721831947
173	0.371641521
174	0.371075435
175	0.3709301392
176	0.3706080419
177	0.369599912
178	0.3692462019
179	0.3687232389
180	0.3683892834
181	0.3674841026
182	0.3661590684
183	0.3655343876
184	0.3652285384
185	0.3644914595
186	0.3638226653
187	0.3632454706
188	0.3626884589
189	0.3622409811
190	0.3618989418
191	0.3615429297
192	0.3610668639
193	0.3604280765
194	0.3599107882
195	0.3593207985
196	0.3588118083
197	0.3583162822
198	0.3574840437
199	0.3567767306
200	0.3559751948
201	0.3554584686
202	0.3550389632
203	0.354611026
204	0.3537737016
205	0.3533200137
206	0.3525423815
207	0.3520387984
208	0.3515244546
209	0.3510796
210	0.3504017316
211	0.3497420384
212	0.3486646869
213	0.3478320201
214	0.34711491
215	0.3465559442
216	0.3457260345
217	0.3451339837
218	0.3446805367
219	0.3440336118
220	0.3436623956
221	0.3429373087
222	0.3425710177
223	0.3420647043
224	0.3412475093
225	0.3407090476
226	0.3401285605
227	0.339416804
228	0.3390545282
229	0.3385815942
230	0.3377940847
231	0.3368432915
232	0.336403389
233	0.3360327884
234	0.3354001576
235	0.3345561412
236	0.334048998
237	0.3335429254
238	0.3331261236
239	0.3326178293
240	0.3321859036
241	0.3315405581
242	0.3310981394
243	0.3302123652
244	0.3296023532
245	0.3288515692
246	0.3280363015
247	0.3274674316
248	0.3268614347
249	0.3265395248
250	0.3258669296
251	0.325377587
252	0.3249723221
253	0.3244097426
254	0.3239383612
255	0.3233710438
256	0.3224366861
257	0.321838318
258	0.3212336863
259	0.3204133327
